figure,T,method,beta,paper_mean,paper_se,source,scenario,decay
5,500,lin,0.2,1.2647164308545236,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,lin,0.2,1.2643238536854393,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,lin,0.2,1.2512562730073,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,lin,0.2,1.2417780821125888,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,lin,0.5,1.28743045798984,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,lin,0.5,1.2923097687988339,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,lin,0.5,1.287823049516426,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,lin,0.5,1.2838410825639133,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,lin,1.0,1.3161454613972499,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,lin,1.0,1.3266331569517522,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,lin,1.0,1.3234363730524121,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,lin,1.0,1.3177158131460929,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,lin,5.0,1.3308955546275412,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,lin,5.0,1.332073314849798,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,lin,5.0,1.3303347075384893,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,lin,5.0,1.337513458390342,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,lin,10.0,1.3344849300534674,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,lin,10.0,1.3277548511298556,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,lin,10.0,1.3357748510790337,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,lin,10.0,1.3338119078036046,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,greedy,0.0,1.981750266942456,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,pure
5,1000,greedy,0.0,1.9685144450593528,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,pure
